LOCATION,ADDRESS,BIKE_PARKING,PLACEMENT,RACKS,SPACES,1_STATUS,2_STATUS_HIGH_LEVEL,3_STATUS_DETAIL,4_STATUS_DESCRIPTION,5_ACTING_AGENT,6_ACTION,INSTALLED_BY,YR_INSTALLED,COORDINATES
Misdirections Magic Shop,1236 09TH AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.765259, -122.466067)"
Sunset Stationers,1248 09TH AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.765019, -122.466050)"
Roti Indian Bistro,53 WEST PORTAL AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.74007218, -122.46604744)"
Alaya,1256 09TH AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.764884, -122.466041)"
Strybing Arboretum Society,1260 09TH AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.764815, -122.466036)"
Tibors Fine Jewelry,29 WEST PORTAL AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.74036449, -122.46585218)"
Eezy Freezy,25 WEST PORTAL AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.74036449, -122.46585218)"
Muriel Leff Mini-Park,450 07TH AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.77978842, -122.46559413)"
Brotherhood Market and Deli,301 RANDOLPH ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,SUPPLY MEETS DEMAND,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.714139, -122.465531)"
Laundromat,250 RANDOLPH ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,SUPPLY MEETS DEMAND,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.714447, -122.465111)"
